team,condition,gh,ga,count,prob,cdf
Tottenham,home,1,2,3,0.039473684210526314,0.35526315789473684
Tottenham,home,1,3,3,0.039473684210526314,0.39473684210526316
Tottenham,home,2,0,10,0.13157894736842105,0.5263157894736842
Tottenham,home,2,1,10,0.13157894736842105,0.6578947368421052
Tottenham,home,2,2,2,0.02631578947368421,0.6842105263157894
Tottenham,home,2,3,3,0.039473684210526314,0.7236842105263157
Tottenham,home,3,0,5,0.06578947368421052,0.7894736842105262
Tottenham,home,3,1,4,0.05263157894736842,0.8421052631578947
Tottenham,home,3,2,1,0.013157894736842105,0.8552631578947368
Tottenham,home,3,3,1,0.013157894736842105,0.868421052631579
Tottenham,home,4,0,3,0.039473684210526314,0.9078947368421053
Tottenham,home,4,1,2,0.02631578947368421,0.9342105263157895
Tottenham,home,4,3,1,0.013157894736842105,0.9473684210526316
Tottenham,home,5,0,2,0.02631578947368421,0.9736842105263158
Tottenham,home,5,1,1,0.013157894736842105,0.986842105263158
Tottenham,home,6,2,1,0.013157894736842105,1.0
Tottenham,away,0,0,5,0.06578947368421052,0.06578947368421052
Tottenham,away,0,1,7,0.09210526315789473,0.15789473684210525
Tottenham,away,0,2,3,0.039473684210526314,0.19736842105263158
Tottenham,away,0,4,3,0.039473684210526314,0.2368421052631579
Tottenham,away,0,5,1,0.013157894736842105,0.25
Tottenham,away,1,0,5,0.06578947368421052,0.3157894736842105
Tottenham,away,1,1,9,0.11842105263157894,0.43421052631578944
Tottenham,away,1,2,1,0.013157894736842105,0.4473684210526315
Tottenham,away,1,3,2,0.02631578947368421,0.4736842105263157
Tottenham,away,1,4,1,0.013157894736842105,0.4868421052631578
Tottenham,away,1,6,1,0.013157894736842105,0.4999999999999999
Tottenham,away,2,0,2,0.02631578947368421,0.5263157894736841
Tottenham,away,2,1,8,0.10526315789473684,0.6315789473684209
Tottenham,away,2,2,7,0.09210526315789473,0.7236842105263156
Tottenham,away,2,3,6,0.07894736842105263,0.8026315789473683
Tottenham,away,2,4,1,0.013157894736842105,0.8157894736842104
Tottenham,away,2,5,1,0.013157894736842105,0.8289473684210525
Tottenham,away,3,0,3,0.039473684210526314,0.8684210526315789
Tottenham,away,3,1,4,0.05263157894736842,0.9210526315789473
Tottenham,away,3,2,1,0.013157894736842105,0.9342105263157895
Tottenham,away,3,3,1,0.013157894736842105,0.9473684210526316
Tottenham,away,4,1,1,0.013157894736842105,0.9605263157894738
Tottenham,away,4,2,1,0.013157894736842105,0.9736842105263159
Tottenham,away,4,3,1,0.013157894736842105,0.9868421052631581
Tottenham,away,6,1,1,0.013157894736842105,1.0000000000000002
Watford,home,0,0,5,0.13157894736842105,0.13157894736842105
Watford,home,0,1,2,0.05263157894736842,0.18421052631578946
Watford,home,0,2,2,0.05263157894736842,0.23684210526315788
Watford,home,0,3,4,0.10526315789473684,0.3421052631578947
Watford,home,0,4,1,0.02631578947368421,0.36842105263157887
Watford,home,0,5,1,0.02631578947368421,0.39473684210526305
Watford,home,1,1,2,0.05263157894736842,0.44736842105263147
Watford,home,1,2,4,0.10526315789473684,0.5526315789473684
Watford,home,1,3,3,0.07894736842105263,0.631578947368421
Watford,home,1,4,2,0.05263157894736842,0.6842105263157894
Watford,home,1,5,1,0.02631578947368421,0.7105263157894736
Watford,home,2,0,1,0.02631578947368421,0.7368421052631577
Watford,home,2,1,3,0.07894736842105263,0.8157894736842104
Watford,home,2,2,1,0.02631578947368421,0.8421052631578946
Watford,home,2,3,2,0.05263157894736842,0.894736842105263
Watford,home,3,0,2,0.05263157894736842,0.9473684210526314
Watford,home,3,2,1,0.02631578947368421,0.9736842105263156
Watford,home,4,1,1,0.02631578947368421,0.9999999999999998
Watford,away,0,0,2,0.05263157894736842,0.05263157894736842
Watford,away,0,1,1,0.02631578947368421,0.07894736842105263
Watford,away,0,2,1,0.02631578947368421,0.10526315789473684
Watford,away,0,3,1,0.02631578947368421,0.13157894736842105
